nbElements,LUTime,LUMemory,MUTime,MUMemory
2002,166,2.5678253,165,3.9911728
4004,152,4.7930603,124,5.737137
6006,197,7.2178345,144,8.160858
8008,158,9.641396,167,10.584373
10010,194,12.064888,192,13.008087
12012,218,14.488632,224,15.431725
14014,268,16.912285,278,17.855156
16016,298,19.335884,309,20.279007
18018,328,21.75956,339,22.702522
20020,387,24.183037,385,25.126328
22022,419,26.610657,416,27.549927
24024,437,29.033936,449,29.973358
26026,482,31.457687,489,32.39695
28028,529,33.881264,538,34.82074
30030,544,36.305023,571,37.244484
32032,589,38.728737,599,39.668045
34034,634,41.152214,631,42.091583
36036,662,43.57596,677,44.515274
38038,704,45.998924,697,46.938316
40040,727,48.422447,748,49.362053
42042,773,50.846344,769,51.78566
44044,800,53.269882,819,54.209366
46046,838,55.69352,843,56.63292
48048,864,58.117294,925,59.05674
50050,916,60.541092,932,61.48059
52052,958,62.96499,988,63.904213
54054,1004,65.388504,1002,66.3279
56056,1030,67.81226,1011,68.75154
58058,1074,70.23577,1071,71.17523
60060,1110,72.65933,1126,73.5988
62062,1120,75.082985,1140,75.994675
64064,1162,77.47894,1480,78.4183
66066,1215,79.902435,1202,80.84198
68068,1238,82.32624,1243,83.26562
70070,1295,84.749886,1304,85.68918
72072,1303,87.17327,1326,88.112625
74074,1345,89.596985,1347,90.53633
76076,1371,92.02065,1380,92.96001
78078,1407,94.44434,1547,95.383736
80080,1486,96.868004,1487,97.807274
82082,1526,99.29173,1548,100.23095
84084,1535,101.71523,1560,102.654625
86086,1581,104.13907,1590,105.078384
88088,1683,106.56249,1612,107.50202
90090,1673,108.98626,1682,109.92571
92092,1701,111.40993,1697,112.34941
94094,1777,113.83354,1880,114.77299
96096,1787,116.2572,1838,117.1965
98098,1822,118.6809,1761,119.6204
100100,1798,121.10467,1824,122.044075
