nbElements,LUTime,LUMemory,MUTime,MUMemory
6006,93,2.3765182,21,0.89805603
8008,79,2.377327,16,0.89865875
10010,68,2.3772125,30,0.89865875
12012,67,2.3784332,21,0.8997345
14014,69,2.3782883,20,0.8997345
16016,69,2.3782654,15,0.8997345
18018,67,2.3785553,15,0.9000015
20020,62,2.3785477,14,0.9000015
22022,63,2.3820953,14,0.9000015
24024,58,2.3822327,22,0.9000015
26026,58,2.3821564,20,0.9000015
28028,59,2.38237,15,0.9000015
30030,63,2.3822632,15,0.9000015
32032,57,2.3821487,14,0.9000015
34034,58,2.3546448,16,0.8723221
36036,72,2.3546295,14,0.8723221
38038,60,2.3545532,14,0.8723221
40040,65,2.3545837,17,0.8723221
42042,57,2.3546906,18,0.8723221
44044,58,2.35437,16,0.8723984
46046,56,2.354805,23,0.8723984
48048,63,2.354126,14,0.8718338
50050,55,2.354187,15,0.8718338
52052,59,2.3540115,23,0.8718338
54054,57,2.3541183,15,0.8718338
56056,71,2.3541107,15,0.8718338
58058,65,2.3541412,15,0.8719864
60060,58,2.3541641,15,0.8719864
62062,63,2.3543015,14,0.8719864
64064,55,2.3540955,18,0.8719864
66066,58,2.3543472,16,0.8721237
68068,56,2.354332,15,0.8721237
70070,58,2.3543625,15,0.8721237
72072,61,2.3543854,20,0.8721237
74074,59,2.3543015,14,0.8721237
76076,63,2.3544846,31,0.8721237
78078,60,2.354393,19,0.8721237
80080,58,2.3542557,16,0.8721237
82082,58,2.3543396,24,0.8721237
84084,66,2.3542862,15,0.8721237
86086,65,2.3542023,15,0.8721237
88088,64,2.354065,17,0.8721237
90090,57,2.354477,19,0.8721237
92092,57,2.354332,22,0.8721237
94094,62,2.3542862,15,0.8721237
96096,59,2.3543549,20,0.8721237
98098,66,2.3541946,14,0.8721237
100100,59,2.3542404,17,0.8721237
