percent,fullVersioning,elementVersioning
1,39085,394
2,39088,785
3,39094,1180
4,39093,1574
5,39087,1969
6,39102,2358
7,39088,2752
8,39090,3147
9,39090,3539
10,39094,3941
11,39092,4339
12,39088,4740
13,39094,5137
14,39094,5539
15,39098,5931
16,39093,6329
17,39106,6729
18,39098,7124
19,39093,7524
20,39093,7917
21,39086,8317
22,39098,8712
23,39097,9112
24,39090,9502
25,39096,9904
26,39094,10299
27,39093,10701
28,39099,11097
29,39099,11497
30,39094,11894
31,39084,12284
32,39096,12680
33,39097,13083
34,39088,13480
35,39093,13876
36,39093,14272
37,39083,14673
38,39090,15066
39,39097,15467
40,39100,15870
41,39089,16263
42,39099,16662
43,39089,17062
44,39091,17459
45,39091,17856
46,39106,18248
47,39086,18638
48,39099,19037
49,39090,19441
50,39087,19838
51,39094,20241
52,39085,20637
53,39091,21030
54,39095,21431
55,39082,21823
56,39095,22236
57,39093,22620
58,39097,23016
59,39095,23412
60,39093,23813
61,39096,24216
62,39095,24605
63,39085,25010
64,39085,25408
65,39090,25801
66,39094,26193
67,39091,26592
68,39095,26987
69,39099,27399
70,39086,27784
71,39103,28181
72,39091,28576
73,39093,28978
74,39099,29373
75,39085,29772
76,39091,30169
77,39090,30577
78,39099,30957
79,39097,31371
80,39103,31758
81,39086,32159
82,39084,32556
83,39090,32949
84,39070,33351
85,39093,33759
86,39090,34143
87,39091,34546
88,39101,34943
89,39087,35335
90,39084,35733
91,39097,36134
92,39104,36518
93,39100,36923
94,39099,37325
95,39093,37722
96,39077,38115
97,39088,38516
98,39085,38907
99,39094,39316
100,39099,39811
